id;courseId;sectionNumber;studentCount;semesterId
HUM111-3;HUM111;3;30;2025-Spring
PHYS101-1;PHYS101;1;53;2025-Spring
PHYS101-2;PHYS101;2;47;2025-Spring
PHYS101-3;PHYS101;3;86;2025-Spring
PHYS101-4;PHYS101;4;62;2025-Spring
CS202-1;CS202;1;58;2025-Spring
CS202-2;CS202;2;29;2025-Spring
CS202-3;CS202;3;44;2025-Spring
CS224-1;CS224;1;48;2025-Spring
CS224-2;CS224;2;13;2025-Spring
CS224-3;CS224;3;54;2025-Spring
GE251-1;GE251;1;13;2025-Spring
GE251-2;GE251;2;53;2025-Spring
GE251-3;GE251;3;75;2025-Spring
HUM112-1;HUM112;1;89;2025-Spring
HUM112-2;HUM112;2;48;2025-Spring
HUM112-3;HUM112;3;54;2025-Spring
HUM112-4;HUM112;4;38;2025-Spring
MATH225-1;MATH225;1;90;2025-Spring
MATH225-2;MATH225;2;15;2025-Spring
MATH225-3;MATH225;3;38;2025-Spring
PHYS102-1;PHYS102;1;73;2025-Spring
PHYS102-2;PHYS102;2;90;2025-Spring
PHYS102-3;PHYS102;3;68;2025-Spring
PHYS102-4;PHYS102;4;51;2025-Spring
CS315-1;CS315;1;31;2025-Spring
CS315-2;CS315;2;28;2025-Spring
CS315-3;CS315;3;32;2025-Spring
CS315-4;CS315;4;62;2025-Spring
CS319-1;CS319;1;16;2025-Spring
CS319-2;CS319;2;60;2025-Spring
CS319-3;CS319;3;88;2025-Spring
CS319-4;CS319;4;60;2025-Spring
ENG401-1;ENG401;1;43;2025-Spring
ENG401-2;ENG401;2;81;2025-Spring
ENG401-3;ENG401;3;99;2025-Spring
ENG401-4;ENG401;4;36;2025-Spring
ENG401-5;ENG401;5;12;2025-Spring
MATH230-1;MATH230;1;16;2025-Spring
MATH230-2;MATH230;2;97;2025-Spring
MATH230-3;MATH230;3;16;2025-Spring
MATH230-4;MATH230;4;58;2025-Spring
CS342-1;CS342;1;65;2025-Spring
CS342-2;CS342;2;32;2025-Spring
CS342-3;CS342;3;95;2025-Spring
CS342-4;CS342;4;95;2025-Spring
CS342-5;CS342;5;11;2025-Spring
CS353-1;CS353;1;62;2025-Spring
CS353-2;CS353;2;21;2025-Spring
CS353-3;CS353;3;50;2025-Spring
CS353-4;CS353;4;82;2025-Spring
CS353-5;CS353;5;25;2025-Spring
CS473-1;CS473;1;70;2025-Spring
CS473-2;CS473;2;61;2025-Spring
CS473-3;CS473;3;44;2025-Spring
GE301-1;GE301;1;100;2025-Spring
GE301-2;GE301;2;96;2025-Spring
GE301-3;GE301;3;92;2025-Spring
IE400-1;IE400;1;98;2025-Spring
IE400-2;IE400;2;45;2025-Spring
IE400-3;IE400;3;42;2025-Spring
IE400-4;IE400;4;89;2025-Spring
CS476-1;CS476;1;76;2025-Spring
CS476-2;CS476;2;43;2025-Spring
CS476-3;CS476;3;31;2025-Spring
CS476-4;CS476;4;38;2025-Spring
CS476-5;CS476;5;48;2025-Spring
CS491-1;CS491;1;50;2025-Spring
CS491-2;CS491;2;27;2025-Spring
CS491-3;CS491;3;92;2025-Spring
CS491-4;CS491;4;16;2025-Spring
CS492-1;CS492;1;75;2025-Spring
CS492-2;CS492;2;33;2025-Spring
CS492-3;CS492;3;23;2025-Spring
GE401-1;GE401;1;59;2025-Spring
GE401-2;GE401;2;95;2025-Spring
GE401-3;GE401;3;10;2025-Spring
GE401-4;GE401;4;28;2025-Spring
GE401-5;GE401;5;76;2025-Spring
GE402-1;GE402;1;41;2025-Spring
GE402-2;GE402;2;31;2025-Spring
GE402-3;GE402;3;90;2025-Spring
GE402-4;GE402;4;61;2025-Spring
CS411-1;CS411;1;41;2025-Spring
CS411-2;CS411;2;32;2025-Spring
CS411-3;CS411;3;70;2025-Spring
CS411-4;CS411;4;24;2025-Spring
CS413-1;CS413;1;25;2025-Spring
CS413-2;CS413;2;90;2025-Spring
CS413-3;CS413;3;28;2025-Spring
CS413-4;CS413;4;91;2025-Spring
CS413-5;CS413;5;82;2025-Spring
CS421-1;CS421;1;25;2025-Spring
CS421-2;CS421;2;69;2025-Spring
CS421-3;CS421;3;50;2025-Spring
CS421-4;CS421;4;96;2025-Spring
CS421-5;CS421;5;71;2025-Spring
CS423-1;CS423;1;36;2025-Spring
CS423-2;CS423;2;17;2025-Spring
CS423-3;CS423;3;25;2025-Spring
CS423-4;CS423;4;94;2025-Spring
CS426-1;CS426;1;66;2025-Spring
CS426-2;CS426;2;41;2025-Spring
CS426-3;CS426;3;18;2025-Spring
CS426-4;CS426;4;56;2025-Spring
CS429-1;CS429;1;71;2025-Spring
CS429-2;CS429;2;54;2025-Spring
CS429-3;CS429;3;60;2025-Spring
CS433-1;CS433;1;13;2025-Spring
CS433-2;CS433;2;46;2025-Spring
CS433-3;CS433;3;41;2025-Spring
CS433-4;CS433;4;80;2025-Spring
CS437-1;CS437;1;75;2025-Spring
CS437-2;CS437;2;52;2025-Spring
CS437-3;CS437;3;34;2025-Spring
CS437-4;CS437;4;24;2025-Spring
CS439-1;CS439;1;31;2025-Spring
CS439-2;CS439;2;31;2025-Spring
CS439-3;CS439;3;63;2025-Spring
CS443-1;CS443;1;33;2025-Spring
CS443-2;CS443;2;18;2025-Spring
CS443-3;CS443;3;59;2025-Spring
CS449-1;CS449;1;49;2025-Spring
CS449-2;CS449;2;84;2025-Spring
CS449-3;CS449;3;80;2025-Spring
CS449-4;CS449;4;85;2025-Spring
CS453-1;CS453;1;32;2025-Spring
CS453-2;CS453;2;13;2025-Spring
CS453-3;CS453;3;34;2025-Spring
CS458-1;CS458;1;53;2025-Spring
CS458-2;CS458;2;99;2025-Spring
CS458-3;CS458;3;74;2025-Spring
CS461-1;CS461;1;82;2025-Spring
CS461-2;CS461;2;85;2025-Spring
CS461-3;CS461;3;66;2025-Spring
CS464-1;CS464;1;48;2025-Spring
CS464-2;CS464;2;79;2025-Spring
CS464-3;CS464;3;66;2025-Spring
CS464-4;CS464;4;35;2025-Spring
CS465-1;CS465;1;71;2025-Spring
CS465-2;CS465;2;84;2025-Spring
CS465-3;CS465;3;89;2025-Spring
CS465-4;CS465;4;17;2025-Spring
CS465-5;CS465;5;78;2025-Spring
CS474-1;CS474;1;71;2025-Spring
CS474-2;CS474;2;49;2025-Spring
CS474-3;CS474;3;94;2025-Spring
CS474-4;CS474;4;41;2025-Spring
CS474-5;CS474;5;54;2025-Spring
CS475-1;CS475;1;82;2025-Spring
CS475-2;CS475;2;54;2025-Spring
CS475-3;CS475;3;96;2025-Spring
CS478-1;CS478;1;60;2025-Spring
CS478-2;CS478;2;53;2025-Spring
CS478-3;CS478;3;97;2025-Spring
CS478-4;CS478;4;91;2025-Spring
CS478-5;CS478;5;46;2025-Spring
CS481-1;CS481;1;81;2025-Spring
CS481-2;CS481;2;53;2025-Spring
CS481-3;CS481;3;32;2025-Spring
CS484-1;CS484;1;62;2025-Spring
CS484-2;CS484;2;74;2025-Spring
CS484-3;CS484;3;13;2025-Spring
CS485-1;CS485;1;61;2025-Spring
CS485-2;CS485;2;86;2025-Spring
CS485-3;CS485;3;76;2025-Spring
CS489-1;CS489;1;18;2025-Spring
CS489-2;CS489;2;45;2025-Spring
CS489-3;CS489;3;80;2025-Spring
CS489-4;CS489;4;85;2025-Spring
CS489-5;CS489;5;17;2025-Spring
CS490-1;CS490;1;94;2025-Spring
CS490-2;CS490;2;51;2025-Spring
CS490-3;CS490;3;51;2025-Spring
CS490-4;CS490;4;34;2025-Spring
CS490-5;CS490;5;64;2025-Spring
EEE361-1;EEE361;1;15;2025-Spring
EEE361-2;EEE361;2;72;2025-Spring
EEE361-3;EEE361;3;31;2025-Spring
EEE361-4;EEE361;4;39;2025-Spring
EEE361-5;EEE361;5;89;2025-Spring
EEE431-1;EEE431;1;65;2025-Spring
EEE431-2;EEE431;2;55;2025-Spring
EEE431-3;EEE431;3;100;2025-Spring
EEE431-4;EEE431;4;22;2025-Spring
EEE431-5;EEE431;5;31;2025-Spring
EEE443-1;EEE443;1;87;2025-Spring
EEE443-2;EEE443;2;64;2025-Spring
EEE443-3;EEE443;3;57;2025-Spring
EEE447-1;EEE447;1;50;2025-Spring
EEE447-2;EEE447;2;67;2025-Spring
EEE447-3;EEE447;3;38;2025-Spring
EEE447-4;EEE447;4;47;2025-Spring
EEE447-5;EEE447;5;81;2025-Spring
EEE448-1;EEE448;1;85;2025-Spring
EEE448-2;EEE448;2;77;2025-Spring
EEE448-3;EEE448;3;54;2025-Spring
EEE485-1;EEE485;1;11;2025-Spring
EEE485-2;EEE485;2;27;2025-Spring
EEE485-3;EEE485;3;95;2025-Spring
EEE485-4;EEE485;4;73;2025-Spring
EEE486-1;EEE486;1;85;2025-Spring
EEE486-2;EEE486;2;89;2025-Spring
EEE486-3;EEE486;3;29;2025-Spring
GE461-1;GE461;1;22;2025-Spring
GE461-2;GE461;2;10;2025-Spring
GE461-3;GE461;3;24;2025-Spring
GE461-4;GE461;4;90;2025-Spring
GE461-5;GE461;5;51;2025-Spring
IE303-1;IE303;1;87;2025-Spring
IE303-2;IE303;2;87;2025-Spring
IE303-3;IE303;3;31;2025-Spring
IE325-1;IE325;1;33;2025-Spring
IE325-2;IE325;2;30;2025-Spring
IE325-3;IE325;3;50;2025-Spring
IE325-4;IE325;4;63;2025-Spring
IE411-1;IE411;1;71;2025-Spring
IE411-2;IE411;2;19;2025-Spring
IE411-3;IE411;3;22;2025-Spring
IE411-4;IE411;4;21;2025-Spring
IE411-5;IE411;5;96;2025-Spring
IE423-1;IE423;1;84;2025-Spring
IE423-2;IE423;2;12;2025-Spring
IE423-3;IE423;3;39;2025-Spring
IE423-4;IE423;4;99;2025-Spring
IE451-1;IE451;1;88;2025-Spring
IE451-2;IE451;2;15;2025-Spring
IE451-3;IE451;3;72;2025-Spring
IE451-4;IE451;4;56;2025-Spring
IE451-5;IE451;5;47;2025-Spring
IE452-1;IE452;1;34;2025-Spring
IE452-2;IE452;2;45;2025-Spring
IE452-3;IE452;3;94;2025-Spring
IE456-1;IE456;1;67;2025-Spring
IE456-2;IE456;2;43;2025-Spring
IE456-3;IE456;3;22;2025-Spring
IE486-1;IE486;1;62;2025-Spring
IE486-2;IE486;2;53;2025-Spring
IE486-3;IE486;3;54;2025-Spring
MATH202-1;MATH202;1;35;2025-Spring
MATH202-2;MATH202;2;100;2025-Spring
MATH202-3;MATH202;3;84;2025-Spring
MATH202-4;MATH202;4;72;2025-Spring
MATH213-1;MATH213;1;33;2025-Spring
MATH213-2;MATH213;2;49;2025-Spring
MATH213-3;MATH213;3;96;2025-Spring
MATH213-4;MATH213;4;30;2025-Spring
MATH224-1;MATH224;1;44;2025-Spring
MATH224-2;MATH224;2;86;2025-Spring
MATH224-3;MATH224;3;81;2025-Spring
MATH240-1;MATH240;1;65;2025-Spring
MATH240-2;MATH240;2;53;2025-Spring
MATH240-3;MATH240;3;72;2025-Spring
MATH253-1;MATH253;1;90;2025-Spring
MATH253-2;MATH253;2;62;2025-Spring
MATH253-3;MATH253;3;86;2025-Spring
MATH260-1;MATH260;1;97;2025-Spring
MATH260-2;MATH260;2;44;2025-Spring
MATH260-3;MATH260;3;29;2025-Spring
MATH260-4;MATH260;4;11;2025-Spring
MATH313-1;MATH313;1;69;2025-Spring
MATH313-2;MATH313;2;40;2025-Spring
MATH313-3;MATH313;3;13;2025-Spring
MATH313-4;MATH313;4;82;2025-Spring
MATH313-5;MATH313;5;31;2025-Spring
MATH314-1;MATH314;1;54;2025-Spring
MATH314-2;MATH314;2;55;2025-Spring
MATH314-3;MATH314;3;87;2025-Spring
MATH314-4;MATH314;4;30;2025-Spring
MATH314-5;MATH314;5;55;2025-Spring
MATH323-1;MATH323;1;30;2025-Spring
MATH323-2;MATH323;2;46;2025-Spring
MATH323-3;MATH323;3;72;2025-Spring
MATH323-4;MATH323;4;97;2025-Spring
MATH323-5;MATH323;5;31;2025-Spring
MATH324-1;MATH324;1;85;2025-Spring
MATH324-2;MATH324;2;59;2025-Spring
MATH324-3;MATH324;3;99;2025-Spring
MATH421-1;MATH421;1;76;2025-Spring
MATH421-2;MATH421;2;86;2025-Spring
MATH421-3;MATH421;3;26;2025-Spring
MATH422-1;MATH422;1;83;2025-Spring
MATH422-2;MATH422;2;48;2025-Spring
MATH422-3;MATH422;3;30;2025-Spring
MATH422-4;MATH422;4;90;2025-Spring
MATH422-5;MATH422;5;71;2025-Spring
MATH465-1;MATH465;1;16;2025-Spring
MATH465-2;MATH465;2;48;2025-Spring
MATH465-3;MATH465;3;82;2025-Spring
MATH465-4;MATH465;4;38;2025-Spring
MBG209-1;MBG209;1;68;2025-Spring
MBG209-2;MBG209;2;36;2025-Spring
MBG209-3;MBG209;3;80;2025-Spring
MBG222-1;MBG222;1;28;2025-Spring
MBG222-2;MBG222;2;73;2025-Spring
MBG222-3;MBG222;3;77;2025-Spring
MBG222-4;MBG222;4;21;2025-Spring
MBG222-5;MBG222;5;47;2025-Spring
MBG326-1;MBG326;1;49;2025-Spring
MBG326-2;MBG326;2;71;2025-Spring
MBG326-3;MBG326;3;36;2025-Spring
ME473-1;ME473;1;13;2025-Spring
ME473-2;ME473;2;20;2025-Spring
ME473-3;ME473;3;24;2025-Spring
ME473-4;ME473;4;44;2025-Spring
ME473-5;ME473;5;21;2025-Spring
ME474-1;ME474;1;84;2025-Spring
ME474-2;ME474;2;73;2025-Spring
ME474-3;ME474;3;56;2025-Spring
ME489-1;ME489;1;84;2025-Spring
ME489-2;ME489;2;75;2025-Spring
ME489-3;ME489;3;74;2025-Spring
ME489-4;ME489;4;46;2025-Spring
ME489-5;ME489;5;22;2025-Spring
