id,courseId,sectionNumber,studentCount
GE301-3,GE301,3,92
IE400-1,IE400,1,98
IE400-2,IE400,2,45
IE400-3,IE400,3,42
IE400-4,IE400,4,89
CS476-1,CS476,1,76
CS476-2,CS476,2,43
CS476-3,CS476,3,31
CS476-4,CS476,4,38
CS476-5,CS476,5,48
CS491-1,CS491,1,50
CS491-2,CS491,2,27
CS491-3,CS491,3,92
CS491-4,CS491,4,16
CS492-1,CS492,1,75
CS492-2,CS492,2,33
CS492-3,CS492,3,23
GE401-1,GE401,1,59
GE401-2,GE401,2,95
GE401-3,GE401,3,10
GE401-4,GE401,4,28
GE401-5,GE401,5,76
GE402-1,GE402,1,41
GE402-2,GE402,2,31
GE402-3,GE402,3,90
GE402-4,GE402,4,61
CS411-1,CS411,1,41
CS411-2,CS411,2,32
CS411-3,CS411,3,70
CS411-4,CS411,4,24
CS413-1,CS413,1,25
CS413-2,CS413,2,90
CS413-3,CS413,3,28
CS413-4,CS413,4,91
CS413-5,CS413,5,82
CS421-1,CS421,1,25
CS421-2,CS421,2,69
CS421-3,CS421,3,50
CS421-4,CS421,4,96
CS421-5,CS421,5,71
CS423-1,CS423,1,36
CS423-2,CS423,2,17
CS423-3,CS423,3,25
CS423-4,CS423,4,94
CS426-1,CS426,1,66
CS426-2,CS426,2,41
CS426-3,CS426,3,18
CS426-4,CS426,4,56
CS429-1,CS429,1,71
CS429-2,CS429,2,54
CS429-3,CS429,3,60
CS433-1,CS433,1,13
CS433-2,CS433,2,46
CS433-3,CS433,3,41
CS433-4,CS433,4,80
CS437-1,CS437,1,75
CS437-2,CS437,2,52
CS437-3,CS437,3,34
CS437-4,CS437,4,24
CS439-1,CS439,1,31
CS439-2,CS439,2,31
CS439-3,CS439,3,63
CS443-1,CS443,1,33
CS443-2,CS443,2,18
CS443-3,CS443,3,59
CS449-1,CS449,1,49
CS449-2,CS449,2,84
CS449-3,CS449,3,80
CS449-4,CS449,4,85
CS453-1,CS453,1,32
CS453-2,CS453,2,13
CS453-3,CS453,3,34
CS458-1,CS458,1,53
CS458-2,CS458,2,99
CS458-3,CS458,3,74
CS461-1,CS461,1,82
CS461-2,CS461,2,85
CS461-3,CS461,3,66
CS464-1,CS464,1,48
CS464-2,CS464,2,79
CS464-3,CS464,3,66
CS464-4,CS464,4,35
CS465-1,CS465,1,71
CS465-2,CS465,2,84
CS465-3,CS465,3,89
CS465-4,CS465,4,17
CS465-5,CS465,5,78
CS474-1,CS474,1,71
CS474-2,CS474,2,49
CS474-3,CS474,3,94
CS474-4,CS474,4,41
CS474-5,CS474,5,54
CS475-1,CS475,1,82
CS475-2,CS475,2,54
CS475-3,CS475,3,96
CS478-1,CS478,1,60
CS478-2,CS478,2,53
CS478-3,CS478,3,97
CS478-4,CS478,4,91
CS478-5,CS478,5,46
CS481-1,CS481,1,81
CS481-2,CS481,2,53
CS481-3,CS481,3,32
CS484-1,CS484,1,62
CS484-2,CS484,2,74
CS484-3,CS484,3,13
CS485-1,CS485,1,61
CS485-2,CS485,2,86
CS485-3,CS485,3,76
CS489-1,CS489,1,18
CS489-2,CS489,2,45
CS489-3,CS489,3,80
CS489-4,CS489,4,85
CS489-5,CS489,5,17
CS490-1,CS490,1,94
CS490-2,CS490,2,51
CS490-3,CS490,3,51
CS490-4,CS490,4,34
CS490-5,CS490,5,64
EEE361-1,EEE361,1,15
EEE361-2,EEE361,2,72
EEE361-3,EEE361,3,31
EEE361-4,EEE361,4,39
EEE361-5,EEE361,5,89
EEE431-1,EEE431,1,65
EEE431-2,EEE431,2,55
EEE431-3,EEE431,3,100
EEE431-4,EEE431,4,22
EEE431-5,EEE431,5,31
EEE443-1,EEE443,1,87
EEE443-2,EEE443,2,64
EEE443-3,EEE443,3,57
EEE447-1,EEE447,1,50
EEE447-2,EEE447,2,67
EEE447-3,EEE447,3,38
EEE447-4,EEE447,4,47
EEE447-5,EEE447,5,81
EEE448-1,EEE448,1,85
EEE448-2,EEE448,2,77
EEE448-3,EEE448,3,54
EEE485-1,EEE485,1,11
EEE485-2,EEE485,2,27
EEE485-3,EEE485,3,95
EEE485-4,EEE485,4,73
EEE486-1,EEE486,1,85
EEE486-2,EEE486,2,89
EEE486-3,EEE486,3,29
GE461-1,GE461,1,22
GE461-2,GE461,2,10
GE461-3,GE461,3,24
GE461-4,GE461,4,90
GE461-5,GE461,5,51
IE303-1,IE303,1,87
IE303-2,IE303,2,87
IE303-3,IE303,3,31
IE325-1,IE325,1,33
IE325-2,IE325,2,30
IE325-3,IE325,3,50
IE325-4,IE325,4,63
IE411-1,IE411,1,71
IE411-2,IE411,2,19
IE411-3,IE411,3,22
IE411-4,IE411,4,21
IE411-5,IE411,5,96
IE423-1,IE423,1,84
IE423-2,IE423,2,12
IE423-3,IE423,3,39
IE423-4,IE423,4,99
IE451-1,IE451,1,88
IE451-2,IE451,2,15
IE451-3,IE451,3,72
IE451-4,IE451,4,56
IE451-5,IE451,5,47
IE452-1,IE452,1,34
IE452-2,IE452,2,45
IE452-3,IE452,3,94
IE456-1,IE456,1,67
IE456-2,IE456,2,43
IE456-3,IE456,3,22
IE486-1,IE486,1,62
IE486-2,IE486,2,53
IE486-3,IE486,3,54
MATH202-1,MATH202,1,35
MATH202-2,MATH202,2,100
MATH202-3,MATH202,3,84
MATH202-4,MATH202,4,72
MATH213-1,MATH213,1,33
MATH213-2,MATH213,2,49
MATH213-3,MATH213,3,96
MATH213-4,MATH213,4,30
MATH224-1,MATH224,1,44
MATH224-2,MATH224,2,86
MATH224-3,MATH224,3,81
MATH240-1,MATH240,1,65
MATH240-2,MATH240,2,53
MATH240-3,MATH240,3,72
MATH253-1,MATH253,1,90
MATH253-2,MATH253,2,62
MATH253-3,MATH253,3,86
MATH260-1,MATH260,1,97
MATH260-2,MATH260,2,44
MATH260-3,MATH260,3,29
MATH260-4,MATH260,4,11
MATH313-1,MATH313,1,69
MATH313-2,MATH313,2,40
MATH313-3,MATH313,3,13
MATH313-4,MATH313,4,82
MATH313-5,MATH313,5,31
MATH314-1,MATH314,1,54
MATH314-2,MATH314,2,55
MATH314-3,MATH314,3,87
MATH314-4,MATH314,4,30
MATH314-5,MATH314,5,55
MATH323-1,MATH323,1,30
MATH323-2,MATH323,2,46
MATH323-3,MATH323,3,72
MATH323-4,MATH323,4,97
MATH323-5,MATH323,5,31
MATH324-1,MATH324,1,85
MATH324-2,MATH324,2,59
MATH324-3,MATH324,3,99
MATH421-1,MATH421,1,76
MATH421-2,MATH421,2,86
MATH421-3,MATH421,3,26
MATH422-1,MATH422,1,83
MATH422-2,MATH422,2,48
MATH422-3,MATH422,3,30
MATH422-4,MATH422,4,90
MATH422-5,MATH422,5,71
MATH465-1,MATH465,1,16
MATH465-2,MATH465,2,48
MATH465-3,MATH465,3,82
MATH465-4,MATH465,4,38
MBG209-1,MBG209,1,68
MBG209-2,MBG209,2,36
MBG209-3,MBG209,3,80
MBG222-1,MBG222,1,28
MBG222-2,MBG222,2,73
MBG222-3,MBG222,3,77
MBG222-4,MBG222,4,21
MBG222-5,MBG222,5,47
MBG326-1,MBG326,1,49
MBG326-2,MBG326,2,71
MBG326-3,MBG326,3,36
ME473-1,ME473,1,13
ME473-2,ME473,2,20
ME473-3,ME473,3,24
ME473-4,ME473,4,44
ME473-5,ME473,5,21
ME474-1,ME474,1,84
ME474-2,ME474,2,73
ME474-3,ME474,3,56
ME489-1,ME489,1,84
ME489-2,ME489,2,75
ME489-3,ME489,3,74
ME489-4,ME489,4,46
ME489-5,ME489,5,22
